"DateTime"," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDWI (NIR/SWIR1) (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1984-04-10",0.5219,0.6687
"1984-05-12",0.2869,
"1984-06-06",0.0285,0.001
"1984-06-13",-0.0009,
"1984-06-22",-0.0218,-0.035
"1984-06-29",-0.0035,-0.0148
"1984-07-08",0.006,0.0046
"1984-07-15",0.0328,0.0124
"1984-07-24",,
"1984-08-25",0.0258,0.0008
"1984-11-04",0.206,0.3474
"1984-11-13",0.1483,0.2257
"1984-11-20",0.1591,0.2094
"1984-12-22",0.3687,0.4077
"1985-01-07",,0.3888
"1985-01-16",0.357,0.462
"1985-01-23",0.333,0.5178
"1985-02-01",0.6618,0.625
"1985-02-08",0.4428,0.4377
"1985-02-17",,
"1985-04-06",0.0792,0.23
"1985-04-13",-0.0161,-0.0202
"1985-05-08",-0.0428,-0.075
"1985-05-24",-0.0337,-0.0646
"1985-07-27",-0.0027,-0.008
"1985-08-12",-0.0219,-0.0287
"1985-08-28",0.0141,0.0061
"1985-09-04",0.2157,0.1488
"1985-09-13",0.0086,0.0082
"1985-10-15",0.1023,0.1998
"1985-10-22",0.0522,0.0339
"1985-10-31",,
"1985-11-16",0.577,0.5823
"1985-11-23",0.3796,0.463
"1985-12-02",0.2129,0.2218
"1985-12-09",,
"1986-01-03",0.3873,0.4529
"1986-01-10",0.5378,0.5256
"1986-01-19",,
"1986-01-26",0.2474,0.2845
"1986-02-04",0.196,0.3833
"1986-02-27",,
"1986-03-08",,
"1986-03-15",,0.2098
"1986-03-31",,0.0159
"1986-04-09",0.1019,0.2735
"1986-04-25",-0.0214,-0.0294
"1986-05-02",,0.0502
"1986-05-11",-0.0422,-0.0568
"1986-05-18",0.0142,-0.0036
"1986-06-03",,0.0703
"1986-06-12",-0.0292,-0.0309
"1986-06-19",-0.0025,-0.0009
"1986-06-28",-0.0055,-0.0053
"1986-07-05",,
"1986-07-14",-0.0285,-0.015
"1986-07-21",,0.0378
"1986-07-30",-0.0278,-0.0191
"1986-08-06",-0.0136,-0.003
"1986-08-15",-0.0188,-0.008
"1986-08-22",,0.141
"1986-08-31",0.0173,0.0151
"1986-09-07",,
"1986-09-16",0.0724,
"1986-09-23",-0.0055,0.0287
"1986-10-02",0.0323,0.0366
"1986-10-09",0.085,0.101
"1986-10-18",0.0628,0.0614
"1986-10-25",0.1074,0.1121
"1986-11-10",0.3444,0.482
"1986-11-26",0.5591,0.5743
"1986-12-12",0.694,0.6919
"1986-12-21",0.6134,0.6735
"1986-12-28",0.5561,0.6352
"1987-01-06",0.5434,0.6816
"1987-01-13",0.5081,0.6066
"1987-01-22",0.6561,0.6532
"1987-01-29",0.497,0.5571
"1987-02-07",0.3964,0.5709
"1987-03-02",0.7198,0.7255
"1987-04-03",0.3207,0.5186
"1987-04-19",-0.0172,0.0524
"1987-04-28",-0.0255,-0.0402
"1987-05-05",,
"1987-05-14",-0.0414,-0.0228
"1987-05-30",-0.0209,-0.0303
"1987-06-06",-0.0168,-0.0106
"1987-06-15",-0.026,-0.0228
"1987-06-22",-0.0265,-0.0133
"1987-07-01",-0.0045,0.0025
"1987-07-24",-0.0076,0.2714
"1987-08-02",-0.0088,0
"1987-08-09",0.0291,0.0798
"1987-08-18",0.0075,0.0087
"1987-08-25",0.055,0.0515
"1987-09-03",0.0098,0.0081
"1987-09-10",0.0138,0.011
"1987-09-19",0.0178,0.0141
"1987-09-26",0.0278,0.0206
"1987-10-05",0.0567,0.0542
"1987-10-12",0.0473,0.0417
"1987-10-21",0.0619,0.0485
"1987-11-14",0.0009,0.138
"1988-03-04",,
"1988-03-20",,
"1988-03-29",0.6883,0.6842
"1988-04-05",0.1157,0.183
"1988-04-14",,
"1988-04-21",-0.008,-0.0202
"1988-04-30",-0.0417,-0.036
"1988-05-07",-0.0287,-0.0408
"1988-05-16",-0.032,-0.0445
"1988-05-23",0.0089,0.0645
"1988-06-01",0.0333,-0.0036
"1988-06-08",0.0006,-0.0159
"1988-06-17",0.0077,0.011
"1988-06-24",0.0178,0.0169
"1988-07-03",0.006,0.01
"1988-07-26",0.0479,0.0476
"1988-07-27",0.0131,0.0225
"1988-08-11",0.0247,0.0356
"1988-08-27",0.0606,0.0869
"1988-09-05",0.0229,0.0331
"1988-09-21",0.0434,
"1988-09-28",0.2126,0.0506
"1988-10-07",0.0819,0.0898
"1988-10-14",0.063,0.0717
"1988-10-23",0.0822,0.0835
"1988-10-30",0.0995,0.1042
"1989-04-01",,
"1989-04-08",0.0385,0.0208
"1989-04-17",0.0263,0.037
"1989-04-24",-0.0008,-0.0038
"1989-05-03",0.0353,0.0906
"1989-05-10",,
"1989-05-26",,
"1989-06-11",,
"1989-06-20",0.0321,0.0604
"1989-07-05",-0.003,0.0075
"1989-07-13",0.0301,0.0507
"1989-07-14",0.09,0.0459
"1989-07-22",0.114,0.0558
"1989-07-29",0.0221,0.0344
"1989-08-07",0.0172,0.0271
"1989-08-14",0.0065,0.0368
"1989-08-15",0.0137,0.0299
"1989-08-23",0.0131,0.0219
"1989-08-30",0.0101,0.0226
"1989-08-31",-0.0027,0.0106
"1989-09-07",-0.0021,0.0096
"1989-09-08",0.0837,0.0667
"1989-09-15",0.0278,0.0368
"1989-09-24",0.0403,0.0481
"1989-10-01",0.0403,0.045
"1989-10-10",0.065,0.065
"1989-10-17",,
"1990-02-15",0.595,0.6279
"1990-03-26",0.1755,0.2295
"1990-04-04",0.0939,0.1595
"1990-04-11",,0.0737
"1990-04-20",0.054,-0.0098
"1990-04-27",,
"1990-05-06",-0.0132,0.0833
"1990-05-13",0.0175,
"1990-05-22",-0.0242,-0.0239
"1990-06-23",0.0036,0.0121
"1990-07-09",0.0726,0.1262
"1990-08-10",0.0474,0.0555
"1990-09-02",0.0268,0.0354
"1990-09-11",0.034,0.0375
"1990-09-27",,
"1990-10-04",,
"1990-10-13",0.072,0.076
"1990-10-29",0.1101,0.1098
"1991-03-22",0.7034,0.6933
"1991-03-29",,
"1991-04-07",,
"1991-04-14",0.5608,0.5768
"1991-04-23",,
"1991-04-30",0.5571,0.474
"1991-05-09",,
"1991-05-25",-0.0038,-0.0004
"1991-06-01",,
"1991-06-10",-0.0017,-0.0523
"1991-06-17",-0.0102,0.0075
"1991-06-26",0.0127,0.0313
"1991-07-03",0.0249,0.0782
"1991-07-12",0.0617,0.1322
"1991-07-19",0.0165,0.0805
"1991-07-28",0.0098,0.0458
"1991-08-04",,
"1991-08-20",,0.0907
"1991-08-29",0.0613,0.0899
"1991-09-05",0.0406,0.0815
"1991-09-14",0.0323,0.0615
"1991-09-21",0.0268,0.0583
"1991-10-07",0.04,0.0656
"1991-10-16",0.0578,0.0798
"1991-10-23",,0.0884
"1992-01-20",0.6148,0.6301
"1992-03-15",0.3612,0.5967
"1992-03-24",0.3557,0.5555
"1992-03-31",,
"1992-04-09",0.0352,0.1191
"1992-04-16",0.121,0.5951
"1992-04-25",-0.0095,0.0107
"1992-05-02",0.0538,
"1992-05-11",-0.0044,0.0078
"1992-05-18",0.059,0.0939
"1992-06-03",0.0445,0.0478
"1992-06-04",0.0288,0.0425
"1992-06-11",0.1009,0.1212
"1992-06-12",0.0156,0.0343
"1992-06-19",0.0004,0.0353
"1992-06-20",0.079,
"1992-06-28",0.0855,0.0888
"1992-07-05",0.01,0.0318
"1992-07-06",0.0057,0.0329
"1992-07-21",0.038,0.0474
"1992-07-30",0.019,0.0338
"1992-08-15",0.0291,0.0398
"1992-08-22",0.0578,0.0557
"1992-08-31",,
"1992-09-07",0.039,0.0674
"1992-09-16",0.0856,0.0682
"1992-09-23",0.0373,0.0531
"1992-10-02",0.0565,0.0647
"1992-10-09",0.0771,0.1203
"1992-10-18",0.0789,0.0932
"1992-10-25",0.1426,0.0956
"1992-11-03",,
"1992-11-10",0.2111,0.3349
"1992-11-26",0.717,0.7036
"1992-12-12",,
"1992-12-21",0.6357,0.6533
"1993-01-06",0.5746,0.6117
"1993-01-13",0.5496,0.6323
"1993-01-22",0.4503,0.5682
"1993-01-29",,
"1993-02-07",,
"1993-02-14",,0.55
"1993-02-23",0.4093,0.556
"1993-03-02",0.3487,0.5278
"1993-03-18",,
"1993-04-03",,
"1993-04-12",0.042,0.0512
"1993-04-19",,0.0915
"1993-04-28",0.0042,0.0096
"1993-05-05",,
"1993-05-14",0.1314,0.0537
"1993-05-30",0.1121,0.0219
"1993-06-06",,
"1993-06-15",0.0087,0.0235
"1993-06-22",-0.0018,0.0145
"1993-07-01",0.0137,0.0291
"1993-07-08",0.1529,0.1606
"1993-07-17",,
"1993-07-24",,0.0607
"1993-08-02",0.1501,0.0587
"1993-08-09",0.0294,0.042
"1993-08-18",0.0482,0.1477
"1993-08-25",0.0516,0.0582
"1993-09-03",0.0736,0.0924
"1993-09-10",0.0511,0.071
"1993-09-19",0.0571,0.0898
"1993-09-26",0.0583,0.0726
"1993-10-05",0.0627,0.0695
"1993-10-12",0.0759,0.0885
"1993-10-21",0.1178,0.1284
"1993-10-28",0.152,
"1993-11-06",0.6539,0.7102
"1993-11-13",0.4147,0.5674
"1993-11-22",0.3209,0.4688
"1993-11-29",0.3293,0.4477
"1993-12-08",0.156,0.2764
"1993-12-24",,
"1994-01-09",0.3979,0.5008
"1994-01-16",,
"1994-01-25",,
"1994-02-01",0.726,0.7242
"1994-02-10",0.6105,
"1994-02-17",,
"1994-02-26",0.3633,0.4403
"1994-03-14",0.1754,0.2519
"1994-03-21",0.0903,0.1844
"1994-03-30",0.6902,0.7123
"1994-04-06",0.741,0.7082
"1994-04-15",0.0514,0.1142
"1994-04-22",0.0229,0.0256
"1994-05-01",,
"1994-05-08",-0.0074,-0.0058
"1994-05-17",0.0027,0.0043
"1994-05-24",0.0637,0.0431
"1994-06-02",0.0707,0.037
"1994-06-09",0.0105,0.0176
"1994-06-18",0.024,0.0294
"1994-06-25",0.0353,0.0618
"1994-07-04",0.0165,0.0217
"1994-07-11",0.0321,0.0389
"1994-08-05",,0.086
"1994-08-12",0.05,0.0562
"1994-08-21",0.0457,0.0781
"1994-09-06",0.0652,0.0636
"1994-09-13",,
"1994-09-22",0.107,0.1457
"1994-09-29",,
"1994-10-08",0.1396,0.3708
"1994-10-15",,
"1994-10-24",0.1262,0.1195
"1994-10-31",0.5047,0.4232
"1994-11-09",0.61,0.6208
"1994-11-16",0.1802,0.2072
"1994-11-25",0.3181,0.4866
"1994-12-02",0.2368,0.3257
"1994-12-11",,
"1994-12-18",0.334,0.4188
"1994-12-27",0.2828,0.3193
"1995-01-03",0.6239,0.6532
"1995-01-12",,
"1995-01-19",0.2726,0.3364
"1995-01-28",0.3891,0.5098
"1995-02-04",0.1856,0.2375
"1995-02-13",0.7412,0.7254
"1995-02-20",0.3721,0.5496
"1995-03-08",,
"1995-03-17",,
"1995-03-24",0.0877,0.0897
"1995-04-02",0.4404,
"1995-04-18",,
"1995-04-25",0.1986,0.6089
"1995-05-04",0.0953,0.1259
"1995-05-11",,
"1995-06-05",0.009,0.0296
"1995-06-12",-0.0096,-0.0066
"1995-06-21",0.0198,0.0228
"1995-06-28",0.0717,0.0873
"1995-07-07",0.0351,0.0448
"1995-07-23",0.1279,0.0841
"1995-07-30",0.1083,0.0898
"1995-08-08",,
"1995-08-15",0.0727,0.101
"1995-08-24",0.1036,0.1017
"1995-08-31",0.0952,0.1169
"1995-09-09",0.0783,
"1995-09-16",0.1001,0.1055
"1995-09-25",0.1711,0.1788
"1995-10-02",0.1188,0.12
"1995-10-11",0.1228,0.1164
"1995-10-18",0.1192,0.1258
"1995-11-03",0.1927,0.1815
"1995-11-19",0.1389,0.1689
"1995-12-05",0.2918,0.281
"1995-12-14",0.2947,0.2893
"1995-12-21",0.3211,0.3093
"1996-01-31",0.5597,0.5266
"1996-02-07",0.3237,0.3927
"1996-02-16",0.2453,0.278
"1996-02-23",0.2011,0.2105
"1996-03-03",0.2024,0.2705
"1996-03-10",,
"1996-03-19",0.3738,0.6216
"1996-03-26",0.3309,0.3641
"1996-04-11",0.0774,0.0758
"1996-04-27",,
"1996-05-06",0.0554,0.0281
"1996-05-13",0.0644,0.0433
"1996-05-22",0.0248,0.0241
"1996-05-29",0.0423,0.0442
"1996-06-07",0.0291,0.0322
"1996-06-14",,
"1996-06-23",0.0429,0.0595
"1996-06-30",0.0512,0.0795
"1996-07-16",0.0534,0.0731
"1996-07-25",0.0781,0.0882
"1996-08-01",0.0697,0.0944
"1996-08-10",0.0499,0.0668
"1996-08-17",0.0448,0.0607
"1996-08-26",0.0694,0.0733
"1996-09-02",,
"1996-09-11",0.0716,0.0803
"1996-09-18",0.1114,0.126
"1996-09-27",0.7229,0.7351
"1996-10-04",0.0993,0.1101
"1996-10-13",0.0979,0.0981
"1996-10-20",0.1317,0.2771
"1996-10-29",,
"1996-11-14",,
"1996-11-21",,
"1996-11-30",,
"1996-12-07",0.6581,0.6149
"1996-12-16",,
"1996-12-23",0.4112,0.4976
"1997-01-01",,
"1997-01-08",0.513,0.6552
"1997-01-17",0.5455,0.5958
"1997-01-24",0.2836,0.3609
"1997-02-02",0.2323,0.2525
"1997-02-09",0.3494,0.4179
"1997-02-18",0.1995,0.2373
"1997-02-25",0.6478,0.6339
"1997-03-06",0.55,0.664
"1997-03-22",0.0654,0.104
"1997-03-29",,
"1997-04-07",0.5892,0.6546
"1997-04-14",,
"1997-04-23",,
"1997-04-30",0.0076,0.0189
"1997-05-09",0.0038,0.0036
"1997-05-16",0.0365,0.0211
"1997-05-25",-0.0044,0.0507
"1997-06-01",-0.0039,-0.0032
"1997-06-10",0.0533,0.0782
"1997-06-17",,0.0667
"1997-06-26",0.0199,0.0301
"1997-07-03",0.019,0.0365
"1997-07-12",0.0271,0.0564
"1997-07-19",,
"1997-08-13",0.0629,0.1027
"1997-08-20",0.0513,0.0683
"1997-08-29",0.059,0.0837
"1997-09-05",0.0666,0.0909
"1997-09-14",0.0547,0.0686
"1997-09-30",0.0681,0.0831
"1997-10-07",0.0729,0.0754
"1997-10-16",0.1112,0.1208
"1997-11-01",0.7113,0.7013
"1997-11-17",0.5127,0.6037
"1997-11-24",0.4336,0.5527
"1997-12-03",0.7147,0.7208
