"DateTime"," NDSI (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDSI (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1984-04-10",0.3609,0.6046
"1984-05-12",-0.044,
"1984-06-06",-0.3972,-0.4205
"1984-06-13",-0.4335,
"1984-06-22",-0.4963,-0.5057
"1984-06-29",-0.4725,-0.4871
"1984-07-08",-0.4332,-0.4522
"1984-07-15",-0.4267,-0.439
"1984-07-24",,
"1984-08-25",-0.4718,-0.4853
"1984-11-04",-0.2197,0.0287
"1984-11-13",-0.3255,-0.1749
"1984-11-20",-0.3493,-0.2344
"1984-12-22",0.0121,0.0942
"1985-01-07",,0.2525
"1985-01-16",-0.0113,0.1782
"1985-01-23",-0.0538,0.2772
"1985-02-01",0.5387,0.4935
"1985-02-08",0.1938,0.2086
"1985-02-17",,
"1985-04-06",-0.3249,-0.0716
"1985-04-13",-0.4153,-0.3982
"1985-05-08",-0.4807,-0.5076
"1985-05-24",-0.4659,-0.492
"1985-07-27",-0.4789,-0.4923
"1985-08-12",-0.5028,-0.515
"1985-08-28",-0.465,-0.4724
"1985-09-04",0.0308,-0.1822
"1985-09-13",-0.4428,-0.45
"1985-10-15",-0.3758,-0.2266
"1985-10-22",-0.4442,-0.4618
"1985-10-31",,
"1985-11-16",0.4359,0.4365
"1985-11-23",0.0542,0.1885
"1985-12-02",-0.0342,-0.029
"1985-12-09",,
"1986-01-03",0.0423,0.147
"1986-01-10",0.2768,0.2519
"1986-01-19",,
"1986-01-26",-0.2494,-0.179
"1986-02-04",-0.2827,0.025
"1986-02-27",,
"1986-03-08",,
"1986-03-15",,-0.1153
"1986-03-31",,-0.361
"1986-04-09",-0.2727,-0.0217
"1986-04-25",-0.4359,-0.4453
"1986-05-02",,-0.2363
"1986-05-11",-0.4691,-0.482
"1986-05-18",-0.3822,-0.4371
"1986-06-03",,-0.2957
"1986-06-12",-0.472,-0.4797
"1986-06-19",-0.4474,-0.4355
"1986-06-28",-0.4282,-0.4658
"1986-07-05",,
"1986-07-14",-0.4791,-0.4912
"1986-07-21",,-0.278
"1986-07-30",-0.4749,-0.4909
"1986-08-06",-0.4782,-0.4929
"1986-08-15",-0.4778,-0.4871
"1986-08-22",,-0.2415
"1986-08-31",-0.4627,-0.4737
"1986-09-07",,
"1986-09-16",-0.2481,
"1986-09-23",-0.4121,-0.4489
