"DateTime"," NDVI (Landsat 4/5/7/8 SR) at Polygon 1, 1984-01-01 to 2019-08-15"," NDVI (Landsat 4/5/7/8 SR) at Polygon 2, 1984-01-01 to 2019-08-15"
"1984-04-10",0.2002,0.0964
"1984-05-12",0.3805,
"1984-06-06",0.3847,0.3922
"1984-06-13",0.3943,
"1984-06-22",0.4282,0.4387
"1984-06-29",0.4191,0.4334
"1984-07-08",0.3757,0.4187
"1984-07-15",0.4106,0.4122
"1984-07-24",,
"1984-08-25",0.4649,0.4659
"1984-11-04",0.4084,0.322
"1984-11-13",0.4436,0.3906
"1984-11-20",0.4616,0.4167
"1984-12-22",0.3833,0.3466
"1985-01-07",,0.1661
"1985-01-16",0.3903,0.3381
"1985-01-23",0.3963,0.2957
"1985-02-01",0.2051,0.2026
"1985-02-08",0.2846,0.2601
"1985-02-17",,
"1985-04-06",0.3626,0.3063
"1985-04-13",0.3541,0.3441
"1985-05-08",0.3951,0.4023
"1985-05-24",0.3944,0.4017
"1985-07-27",0.4476,0.4688
"1985-08-12",0.4529,0.4686
"1985-08-28",0.4473,0.4602
"1985-09-04",0.1867,0.3158
"1985-09-13",0.432,0.4496
"1985-10-15",0.436,0.4004
"1985-10-22",0.4463,0.4632
"1985-10-31",,
"1985-11-16",0.2023,0.2023
"1985-11-23",0.3567,0.3229
"1985-12-02",0.2525,0.2556
"1985-12-09",,
"1986-01-03",0.3887,0.3582
"1986-01-10",0.3352,0.3346
"1986-01-19",,
"1986-01-26",0.462,0.4436
"1986-02-04",0.4457,0.3804
"1986-02-27",0.2578,
"1986-03-08",,
"1986-03-15",,0.3102
"1986-03-31",,0.3608
"1986-04-09",0.3525,0.3156
"1986-04-25",0.3787,0.3928
"1986-05-02",,0.2697
"1986-05-11",0.3839,0.396
"1986-05-18",0.3655,0.4054
"1986-06-03",,0.3388
"1986-06-12",0.4139,0.4328
"1986-06-19",0.4157,0.423
"1986-06-28",0.3999,0.4399
"1986-07-05",,
"1986-07-14",0.4259,0.458
"1986-07-21",,0.3179
"1986-07-30",0.4268,0.4555
"1986-08-06",0.4424,0.4717
"1986-08-15",0.4397,0.4697
"1986-08-22",,0.4216
"1986-08-31",0.456,0.4777
"1986-09-07",,
"1986-09-16",0.3061,
"1986-09-23",0.3816,0.4521
"1986-10-02",0.4322,0.4497
"1986-10-09",0.4433,0.4669
"1986-10-18",0.4438,0.4684
"1986-10-25",0.4551,0.4828
"1986-11-10",0.3139,0.2745
"1986-11-26",0.2901,0.273
"1986-12-12",0.2402,0.2306
"1986-12-21",0.3229,0.2633
"1986-12-28",0.3145,0.28
"1987-01-06",0.3712,0.2739
"1987-01-13",0.3409,0.2975
"1987-01-22",0.2465,0.2314
"1987-01-29",0.3071,0.2551
"1987-02-07",0.3639,0.2595
